uf,m,pop,l,u,e,g,mi,mm,f,dl,du,mac,crit,idh,caps,caps_tipo,caps_gestor,srt,leitos_hg,psiq,lq,cobertura_raps,psiq_hg,psiq_hg_sus,hosp_psiq,sm_total,def_psiq,psiq_cad,psiq_hab,psiq_status,alerta_fiscal,porte,pop_sus,esf_gap,regiao,score_mun,risco_mun,vulnerab,n_flags,recup_r,prioridade,siops_desp,esf_equipes,ibge_cod,lat,lon,pib_percapita,agua_rede,esgoto_rede,bolsa_familia_pct,agentes_acs,internacoes_av,cobertura_vacinal,ine,gini,nascimentos,dengue_inc,alfabetizacao,notificacoes,coord_saude,score_v2,score_v2_ab,score_v2_iv,score_v2_raps,score_v2_se,score_v2_san,score_v2_fin,risco_v2,leitos_sus,leitos_sus_1k,esf_1k,medicos_1k,enfermeiros_1k,acs_1k,mort_cv_100k,mort_dm_100k,mort_has_100k,prev_dm_pct,prev_has_pct,intern_dengue_100k,intern_pneum_100k,intern_sepse_100k,let_dengue,let_pneum,let_sepse,sih_score,score_v3_d1,score_v3_d2,score_v3_d3,score_v3_d4,cob_sarampo,cob_gripe,cob_covid,pen_vacinal,pen_vacinal_nivel,pen_vacinal_desc,d1_base,psiq_1k,lq_1k,leitos_total,ibge_7,uti_sus,vacuo_hab,esf_pct,versao_banco,score_v3,rank_v3,rank_regiao_v3,risco_v3
AC,Acrelândia,16248,1.57,0.18,0.694,7.8,17.2,51.2,525.0,14.0,0.0,Norte,MÉDIO,0.598,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,12186,79.3,Norte,19.3,CRÍTICO,8.9,2,14.7,3,550.4,0,1200013.0,-9.933423,-66.950327,23725,63.9,24.9,33.6,27,275,64.5,0.649,0.485,211,252,86.2,58,Secretaria Municipal de Saúde,24.5,14.4,34.2,48.3,27.0,6.9,17.7,CRÍTICO,7,0.43,0.0,0.91,1.58,1.66,119.8,21.7,14.6,7.9,20.7,44.6,428.0,16.4,0.0672,0.0692,0.2967,4.93,18.0,62.5,76.3,64.43,72.2,43.7,63.7,True,3,Sarampo:72% | Geral:64%,0.0,,,,1200013.0,2.0,False,65.0,v40+v37+v3,53.58,1842.0,390.0,ALTO
AC,Assis Brasil,7842,1.25,0.14,0.694,7.8,17.2,51.2,416.0,11.0,0.0,Norte,ALTO,0.618,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,5881,79.3,Norte,16.1,CRÍTICO,8.9,2,11.6,3,558.6,0,1200054.0,-10.779412,-70.006155,24077,64.9,25.3,33.1,13,271,64.7,0.64,0.482,235,231,79.7,28,Secretaria Municipal de Saúde,32.2,14.8,34.7,100.0,22.3,9.5,18.3,CRÍTICO,3,0.38,0.0,0.91,1.58,1.66,122.3,22.3,15.0,8.0,20.9,47.2,427.3,17.8,0.0656,0.0686,0.2933,5.03,18.0,63.01,76.9,55.21,68.4,51.9,70.5,True,3,Sarampo:68% | Geral:65%,0.0,,,,1200054.0,1.0,False,65.0,v40+v37+v3,52.5,1561.0,364.0,ALTO
AC,Brasiléia,27482,1.82,0.21,0.694,7.8,17.2,51.2,608.0,19.0,0.0,Norte,MÉDIO,0.641,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,20611,79.3,Norte,23.4,CRÍTICO,8.6,1,17.0,3,803.0,0,1200104.0,-10.746704,-69.207218,25706,75.5,39.8,16.9,31,182,68.8,0.494,0.519,517,308,83.8,127,Secretaria Municipal de Saúde,28.1,15.0,45.0,28.5,22.7,25.1,38.7,CRÍTICO,19,0.69,0.0,1.43,2.31,1.13,125.2,23.0,15.4,8.1,21.3,62.2,392.1,31.9,0.0637,0.0679,0.2894,5.58,18.16,75.44,70.05,54.61,70.8,58.3,75.8,True,3,Sarampo:71% | Geral:69%,0.16,,,,1200104.0,5.0,False,65.0,v40+v37+v3,53.52,1824.0,388.0,ALTO
AC,Bujari,11682,1.57,0.18,0.694,7.8,17.2,51.2,525.0,13.0,0.0,Norte,MÉDIO,0.604,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,True,PEQUENO,8761,79.3,Norte,14.3,CRÍTICO,9.4,3,14.7,2,552.9,0,1200138.0,-9.614258,-68.173098,23830,64.2,25.0,33.5,19,274,64.6,0.646,0.484,206,231,77.6,42,Secretaria Municipal de Saúde,16.3,14.1,34.3,0.0,19.3,8.5,17.9,CRÍTICO,5,0.43,0.0,0.91,1.58,1.63,120.5,21.9,14.7,7.9,20.7,46.3,438.5,17.1,0.0667,0.069,0.2957,5.08,18.0,64.35,90.26,64.48,48.5,53.3,71.6,True,3,Sarampo:48% | Geral:65%,0.0,,,,1200138.0,2.0,False,65.0,v40+v37+v3,58.24,3345.0,442.0,MODERADO
AC,Capixaba,12458,1.57,0.18,0.694,7.8,17.2,51.2,525.0,10.0,0.0,Norte,MÉDIO,0.588,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,9343,79.3,Norte,19.3,CRÍTICO,8.9,2,14.7,3,546.3,0,1200179.0,-10.473203,-67.835864,23549,63.5,24.7,33.9,21,277,64.3,0.654,0.487,171,252,81.0,44,Secretaria Municipal de Saúde,25.8,14.4,33.9,63.0,21.7,6.8,17.3,CRÍTICO,5,0.4,0.0,0.91,1.58,1.69,118.5,21.4,14.4,7.8,20.5,45.4,440.6,16.5,0.068,0.0695,0.2985,5.05,10.0,64.38,76.68,64.62,95.3,38.0,58.9,True,2,Geral:64%,0.0,,,,1200179.0,2.0,False,65.0,v40+v37+v3,51.79,1346.0,324.0,CRÍTICO
AC,Cruzeiro do Sul,89072,2.11,0.24,0.694,7.8,17.2,51.2,704.0,39.0,0.0,Norte,MÉDIO,0.664,2.0,"CAPS II, CAPSad",Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,66804,79.3,Norte,27.7,CRÍTICO,8.4,1,19.7,3,816.3,0,1200203.0,-7.971985,-72.754701,26131,76.8,40.4,16.7,100,179,69.1,0.486,0.515,1575,308,83.8,412,Secretaria Municipal de Saúde,27.7,15.6,45.0,17.6,27.7,26.9,39.9,CRÍTICO,60,0.67,0.0,1.43,2.31,1.12,128.1,23.7,15.8,8.3,21.6,65.0,389.7,34.0,0.0619,0.0673,0.2855,5.69,19.58,75.51,68.49,52.51,64.9,45.2,64.9,True,3,Sarampo:65% | Geral:69%,1.58,,,,1200203.0,18.0,False,65.0,v40+v37+v3,53.18,1723.0,379.0,ALTO
AC,Epitaciolândia,18984,1.57,0.18,0.694,7.8,17.2,51.2,525.0,18.0,0.0,Norte,MÉDIO,0.635,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14238,79.3,Norte,20.4,CRÍTICO,8.7,1,14.7,3,565.5,0,1200252.0,-10.888466,-68.618144,24376,65.7,25.6,32.7,31,268,65.0,0.632,0.48,278,231,85.4,68,Secretaria Municipal de Saúde,25.1,15.1,35.0,41.3,31.0,10.6,18.9,CRÍTICO,8,0.42,0.0,0.91,1.58,1.63,124.4,22.8,15.3,8.1,21.2,48.9,433.1,18.7,0.0642,0.0681,0.2904,5.14,18.0,64.85,76.27,57.74,61.4,40.1,60.7,True,3,Sarampo:61% | Geral:65%,0.0,,,,1200252.0,3.0,False,65.0,v40+v37+v3,53.15,1710.0,378.0,ALTO
AC,Feijó,35862,1.82,0.21,0.694,7.8,17.2,51.2,608.0,26.0,0.0,Norte,MÉDIO,0.569,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,26896,79.3,Norte,21.9,CRÍTICO,8.9,2,17.0,3,761.4,0,1200302.0,-8.924316,-70.744736,24375,71.6,37.7,17.9,40,192,67.8,0.521,0.53,808,336,68.1,166,Secretaria Municipal de Saúde,21.7,12.6,44.2,21.9,2.0,17.5,35.3,CRÍTICO,24,0.67,0.0,1.43,2.31,1.12,116.1,20.8,14.0,7.7,20.2,53.4,389.7,25.1,0.0695,0.07,0.3017,5.13,18.0,66.73,71.36,66.67,63.5,49.0,68.1,True,3,Sarampo:64% | Geral:68%,0.0,,,,1200302.0,7.0,False,65.0,v40+v37+v3,53.49,1814.0,387.0,ALTO
AC,Jordão,11284,1.25,0.14,0.694,7.8,17.2,51.2,416.0,12.0,0.0,Norte,ALTO,0.512,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,True,PEQUENO,8463,79.3,Norte,10.9,CRÍTICO,9.4,5,11.6,1,515.3,0,1200328.0,-9.242731,-71.905821,22211,59.8,23.3,35.9,19,294,63.3,0.693,0.498,237,252,74.4,40,Secretaria Municipal de Saúde,14.3,13.2,31.9,0.0,12.7,6.8,17.0,CRÍTICO,5,0.44,0.0,0.91,1.58,1.68,108.9,19.0,13.0,7.3,19.4,37.3,441.3,12.0,0.074,0.0717,0.3114,4.73,10.0,62.59,90.39,66.67,120.0,42.2,62.4,True,2,Geral:63%,0.0,,,,1200328.0,1.0,False,65.0,v40+v37+v3,55.76,2458.0,427.0,ALTO
AC,Manoel Urbano,9562,1.57,0.18,0.694,7.8,17.2,51.2,525.0,12.0,0.0,Norte,MÉDIO,0.572,0.0,Nenhum,Municipal,0.0,0,2,0.21,SIM,2,2,,2,0.0,2.0,2.0,HABILITADO,False,PEQUENO,7171,79.3,Norte,17.3,CRÍTICO,9.4,3,14.7,2,539.8,0,1200344.0,-9.381083,-69.853638,23267,62.7,24.4,34.3,16,280,64.1,0.662,0.489,213,252,69.2,34,Secretaria Municipal de Saúde,15.0,13.7,33.6,4.1,10.3,6.8,17.0,CRÍTICO,4,0.42,0.0,0.91,1.58,1.67,116.5,20.9,14.1,7.7,20.3,43.0,435.7,15.3,0.0692,0.0699,0.3012,4.92,18.0,63.17,85.69,66.67,72.5,48.8,67.9,True,3,Sarampo:72% | Geral:64%,0.0,,,,1200344.0,2.0,False,65.0,v40+v37+v3,56.9,2831.0,436.0,MODERADO
AC,Marechal Thaumaturgo,19682,1.57,0.18,0.694,7.8,17.2,51.2,525.0,17.0,0.0,Norte,MÉDIO,0.526,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14761,79.3,Norte,19.3,CRÍTICO,8.9,2,14.7,3,521.0,0,1200351.0,-9.095633,-72.559079,22458,60.5,23.6,35.5,32,290,63.5,0.686,0.496,380,252,68.6,70,Secretaria Municipal de Saúde,19.5,12.3,32.4,39.8,8.5,6.8,17.0,CRÍTICO,8,0.41,0.0,0.91,1.58,1.63,110.7,19.4,13.2,7.4,19.6,38.3,431.7,12.6,0.0729,0.0713,0.3091,4.69,18.0,61.46,77.5,66.67,70.7,57.1,74.8,True,3,Sarampo:71% | Geral:64%,0.0,,,,1200351.0,3.0,False,65.0,v40+v37+v3,54.02,1971.0,402.0,ALTO
AC,Mâncio Lima,19486,1.82,0.21,0.694,7.8,17.2,51.2,608.0,14.0,0.0,Norte,MÉDIO,0.602,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14614,79.3,Norte,19.9,CRÍTICO,9.4,2,17.0,3,552.0,0,1200336.0,-7.504635,-73.438384,23795,64.1,25.0,33.5,32,274,64.5,0.647,0.485,332,231,78.5,70,Secretaria Municipal de Saúde,16.4,14.1,34.3,0.0,19.9,8.4,17.8,CRÍTICO,8,0.41,0.0,0.91,1.58,1.64,120.3,21.8,14.7,7.9,20.7,46.1,435.6,17.0,0.0668,0.0691,0.2961,5.04,18.0,63.85,90.58,64.81,56.4,56.6,74.4,True,3,Sarampo:56% | Geral:64%,0.0,,,,1200336.0,3.0,False,65.0,v40+v37+v3,58.26,3353.0,443.0,MODERADO
AC,Plácido de Castro,19854,1.57,0.18,0.694,7.8,17.2,51.2,525.0,16.0,0.0,Norte,MÉDIO,0.605,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14890,79.3,Norte,19.3,CRÍTICO,8.9,1,14.7,3,553.3,0,1200385.0,-10.248826,-67.339292,23848,64.3,25.0,33.4,33,273,64.6,0.646,0.484,259,231,83.7,71,Secretaria Municipal de Saúde,23.3,14.7,34.4,39.5,25.0,8.6,17.9,CRÍTICO,8,0.4,0.0,0.91,1.58,1.66,120.6,21.9,14.7,7.9,20.8,46.9,439.3,17.4,0.0666,0.069,0.2955,5.1,18.0,64.54,76.68,64.16,67.0,49.3,68.3,True,3,Sarampo:67% | Geral:65%,0.0,,,,1200385.0,3.0,False,65.0,v40+v37+v3,54.16,2021.0,408.0,ALTO
AC,Porto Acre,18547,1.57,0.18,0.694,7.8,17.2,51.2,525.0,16.0,0.0,Norte,MÉDIO,0.612,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,True,PEQUENO,13910,79.3,Norte,14.3,CRÍTICO,9.4,3,14.7,2,556.1,0,1200807.0,-9.629981,-67.698003,23971,64.6,25.2,33.3,31,272,64.7,0.642,0.483,319,231,79.3,66,Secretaria Municipal de Saúde,17.0,15.1,34.5,0.0,21.2,9.1,18.1,CRÍTICO,8,0.43,0.0,0.91,1.58,1.67,121.5,22.1,14.8,8.0,20.9,47.5,442.5,17.7,0.066,0.0688,0.2943,5.15,18.0,65.13,89.82,63.13,77.6,56.0,73.9,True,3,Sarampo:78% | Geral:65%,0.0,,,,1200807.0,3.0,False,65.0,v40+v37+v3,58.1,3289.0,440.0,MODERADO
AC,Porto Walter,12468,1.57,0.18,0.694,7.8,17.2,51.2,525.0,11.0,0.0,Norte,MÉDIO,0.542,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,True,PEQUENO,9351,79.3,Norte,14.3,CRÍTICO,9.4,4,14.7,2,527.5,0,1200393.0,-8.491607,-72.733467,22739,61.3,23.9,35.1,21,287,63.7,0.677,0.494,260,252,67.5,45,Secretaria Municipal de Saúde,13.9,13.3,32.7,0.0,9.0,6.8,17.0,CRÍTICO,5,0.4,0.0,0.91,1.58,1.68,112.7,19.9,13.5,7.5,19.9,40.5,438.0,13.8,0.0716,0.0708,0.3063,4.83,18.0,62.86,91.01,66.67,72.8,51.3,70.0,True,3,Sarampo:73% | Geral:64%,0.0,,,,1200393.0,2.0,False,65.0,v40+v37+v3,58.42,3411.0,444.0,MODERADO
AC,Rio Branco,419452,2.5,0.29,0.694,7.8,17.2,51.2,832.0,0.0,1.0,Norte,BAIXO,0.727,5.0,"CAPS II, CAPSad, CAPSi, CAPSad III, CAPS III",Municipal,3.0,30,30,0.36,SIM,30,30,HUERB,30,0.0,30.0,30.0,HABILITADO,False,GRANDE,314589,79.3,Norte,35.0,CRÍTICO,7.7,1,23.3,3,1143.8,1,1200401.0,-10.0662,-68.371184,29894,83.9,48.7,11.0,378,145,71.9,0.406,0.546,5072,336,91.8,2290,Secretaria Municipal de Saúde,34.7,18.1,45.0,15.0,43.6,38.1,67.0,CRÍTICO,480,1.14,0.02,2.08,3.36,0.9,136.1,25.7,17.0,8.7,22.5,103.9,391.3,54.4,0.0568,0.0655,0.2747,7.25,22.91,82.09,59.19,40.01,73.9,49.0,68.0,True,3,Sarampo:74% | Geral:72%,4.91,,,,1200401.0,72.0,False,65.0,v40+v37+v3,51.15,1204.0,297.0,CRÍTICO
AC,Rodrigues Alves,18842,1.57,0.18,0.694,7.8,17.2,51.2,525.0,14.0,0.0,Norte,MÉDIO,0.586,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14131,79.3,Norte,17.3,CRÍTICO,9.4,3,14.7,2,545.5,0,1200427.0,-7.843925,-73.224325,23514,63.4,24.7,33.9,31,277,64.3,0.655,0.487,318,252,72.1,67,Secretaria Municipal de Saúde,15.0,13.7,33.9,0.0,13.5,6.8,17.3,CRÍTICO,8,0.42,0.0,0.91,1.58,1.65,118.2,21.3,14.4,7.8,20.5,44.6,438.4,16.2,0.0681,0.0695,0.2988,5.01,10.0,63.94,90.51,66.67,30.0,61.2,78.3,True,3,Sarampo:30% | Geral:64%,0.0,,,,1200427.0,2.0,False,65.0,v40+v37+v3,56.14,2576.0,429.0,ALTO
AC,Santa Rosa do Purus,8245,1.25,0.14,0.694,7.8,17.2,51.2,416.0,9.0,0.0,Norte,ALTO,0.508,0.0,Nenhum,Municipal,0.0,0,1,0.12,SIM,1,1,,1,0.0,1.0,1.0,HABILITADO,False,PEQUENO,6183,79.3,Norte,13.9,CRÍTICO,9.4,4,11.6,2,513.7,0,1200435.0,-9.410549,-70.395386,22141,59.7,23.2,36.0,14,295,63.3,0.696,0.499,170,252,72.0,29,Secretaria Municipal de Saúde,14.3,13.5,31.8,2.4,10.3,6.8,17.0,CRÍTICO,3,0.36,0.0,0.91,1.58,1.7,108.4,18.9,12.9,7.3,19.4,36.8,428.2,11.7,0.0744,0.0718,0.3121,4.6,10.0,60.61,86.64,66.67,81.9,59.0,76.4,True,2,Sarampo:82% | Geral:63%,0.0,,,,1200435.0,1.0,False,65.0,v40+v37+v3,54.14,2013.0,407.0,ALTO
AC,Sena Madureira,47285,1.82,0.21,0.694,7.8,17.2,51.2,608.0,30.0,0.0,Norte,MÉDIO,0.603,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,35463,79.3,Norte,21.9,CRÍTICO,8.9,1,17.0,3,781.1,0,1200500.0,-9.771131,-69.381417,25003,73.5,38.7,17.4,53,187,68.2,0.508,0.525,724,308,77.2,218,Secretaria Municipal de Saúde,23.5,13.6,44.8,16.6,10.7,22.2,36.9,CRÍTICO,32,0.68,0.0,1.43,2.31,1.12,120.4,21.8,14.7,7.9,20.7,57.5,390.9,28.3,0.0668,0.069,0.2959,5.34,10.0,71.06,70.84,64.34,112.7,41.1,61.5,True,2,Geral:68%,0.0,,,,1200500.0,8.0,False,65.0,v40+v37+v3,51.67,1318.0,319.0,CRÍTICO
AC,Senador Guiomard,24621,1.82,0.21,0.694,7.8,17.2,51.2,608.0,15.0,0.0,Norte,MÉDIO,0.619,0.0,Nenhum,Municipal,0.0,0,1,0.04,SIM,1,1,,1,0.0,1.0,1.0,HABILITADO,False,MÉDIO,18465,79.3,Norte,20.1,CRÍTICO,9.4,2,17.0,3,790.3,0,1200450.0,-9.996928,-67.426668,25299,74.3,39.2,17.2,28,185,68.5,0.502,0.522,341,308,84.2,114,Secretaria Municipal de Saúde,22.8,14.5,45.0,0.8,18.6,23.4,37.7,CRÍTICO,17,0.69,0.0,1.43,2.31,1.14,122.4,22.3,15.0,8.0,21.0,60.2,396.9,30.2,0.0655,0.0686,0.2932,5.51,18.0,74.39,79.2,61.95,65.1,51.7,70.3,True,3,Sarampo:65% | Geral:68%,0.0,,,,1200450.0,4.0,False,65.0,v40+v37+v3,57.05,2891.0,437.0,MODERADO
AC,Tarauacá,43151,1.82,0.21,0.694,7.8,17.2,51.2,608.0,32.0,0.0,Norte,MÉDIO,0.582,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,32363,79.3,Norte,21.9,CRÍTICO,8.9,2,17.0,3,768.9,0,1200609.0,-8.239507,-71.44509,24615,72.3,38.1,17.7,49,190,67.9,0.516,0.528,1023,336,71.8,199,Secretaria Municipal de Saúde,22.0,13.1,44.4,18.2,4.9,18.5,35.9,CRÍTICO,29,0.67,0.0,1.43,2.31,1.14,117.7,21.2,14.3,7.8,20.4,56.7,401.6,27.1,0.0684,0.0696,0.2995,5.36,18.0,71.06,71.09,66.67,47.3,42.7,62.8,True,3,Sarampo:47% | Geral:68%,0.0,,,,1200609.0,8.0,False,65.0,v40+v37+v3,54.49,2111.0,414.0,ALTO
AC,Xapuri,18762,1.57,0.18,0.694,7.8,17.2,51.2,525.0,18.0,0.0,Norte,MÉDIO,0.599,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14071,79.3,Norte,17.3,CRÍTICO,9.4,3,14.7,2,550.8,0,1200708.0,-10.575799,-68.504797,23742,64.0,24.9,33.6,31,275,64.5,0.649,0.485,304,252,79.3,67,Secretaria Municipal de Saúde,16.3,14.3,34.2,0.0,20.6,6.9,17.7,CRÍTICO,8,0.43,0.0,0.91,1.58,1.65,119.9,21.7,14.6,7.9,20.7,46.2,442.5,17.0,0.0671,0.0691,0.2966,5.1,18.0,64.84,90.18,65.32,75.3,54.9,72.9,True,3,Sarampo:75% | Geral:64%,0.0,,,,1200708.0,3.0,False,65.0,v40+v37+v3,58.46,3433.0,445.0,MODERADO
AL,Anadia,15426,1.17,0.0,89.2,6.6,15.2,69.8,14.0,-16.0,-2.0,Nordeste,MODERADO,0.622,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,11569,0.0,Nordeste,48.2,ALTO,4.9,2,0.2,3,572.9,3,2700201.0,-9.663177,-36.312656,20306,68.4,27.7,36.4,25,284,64.1,0.638,0.492,181,264,67.1,67,Secretaria Municipal de Saúde,35.1,61.3,27.9,50.8,9.7,12.6,32.3,ALTO,7,0.45,1.94,1.19,1.8,1.62,178.0,39.0,28.5,9.6,25.3,3.1,473.9,19.6,0.0652,0.0647,0.2783,4.59,40.01,58.65,64.82,66.32,117.2,71.2,80.1,True,2,Geral:64%,40.01,,,,2700201.0,0.0,0,0.0,v40+v37+v3,56.06,2550.0,199.0,ALTO
