uf,m,ibge_cod,pop,caps,caps_tipo,srt,leitos_sus,leitos_hg,psiq,psiq_cad,psiq_hab,def_psiq,lq,uti_sus,vacuo_hab,esf_pct,alerta_fiscal,score_mun,score_v2,versao_banco
AC,Acrelândia,1200013.0,16248,1.0,CAPS,0.0,7,0,0,0.0,0.0,0.0,0.0,2.0,False,65.0,False,19.3,24.5,v37+v3
AC,Assis Brasil,1200054.0,7842,1.0,CAPS I,0.0,3,0,0,0.0,0.0,0.0,0.0,1.0,False,65.0,False,16.1,32.2,v37+v3
AC,Brasiléia,1200104.0,27482,1.0,CAPS,0.0,19,0,0,0.0,0.0,0.0,0.0,5.0,False,65.0,False,23.4,28.1,v37+v3
AC,Bujari,1200138.0,11682,0.0,Nenhum,0.0,5,0,0,0.0,0.0,0.0,0.0,2.0,False,65.0,True,14.3,16.3,v37+v3
AC,Capixaba,1200179.0,12458,1.0,CAPS,0.0,5,0,0,0.0,0.0,0.0,0.0,2.0,False,65.0,False,19.3,25.8,v37+v3
AC,Cruzeiro do Sul,1200203.0,89072,2.0,"CAPS II, CAPSad",0.0,60,0,0,10.0,8.0,2.0,0.0871,18.0,False,65.0,False,27.7,27.7,v37+v3
AC,Epitaciolândia,1200252.0,18984,1.0,CAPS I,0.0,8,0,0,0.0,0.0,0.0,0.0,3.0,False,65.0,False,20.4,25.1,v37+v3
AC,Feijó,1200302.0,35862,1.0,CAPS I,0.0,24,0,0,0.0,0.0,0.0,0.0,7.0,False,65.0,False,21.9,21.7,v37+v3
AC,Jordão,1200328.0,11284,0.0,Nenhum,0.0,5,0,0,0.0,0.0,0.0,0.0,1.0,False,65.0,True,10.9,14.3,v37+v3
AC,Manoel Urbano,1200344.0,9562,0.0,Nenhum,0.0,4,0,2,0.0,0.0,0.0,0.0,2.0,False,65.0,False,17.3,15.0,v37+v3
AC,Marechal Thaumaturgo,1200351.0,19682,1.0,CAPS,0.0,8,0,0,0.0,0.0,0.0,0.0,3.0,False,65.0,False,19.3,19.5,v37+v3
AC,Mâncio Lima,1200336.0,19486,0.0,Nenhum,0.0,8,0,0,0.0,0.0,0.0,0.0,3.0,False,65.0,False,19.9,16.4,v37+v3
AC,Plácido de Castro,1200385.0,19854,1.0,CAPS,0.0,8,0,0,0.0,0.0,0.0,0.0,3.0,False,65.0,False,19.3,23.3,v37+v3
AC,Porto Acre,1200807.0,18547,0.0,Nenhum,0.0,8,0,0,0.0,0.0,0.0,0.0,3.0,False,65.0,True,14.3,17.0,v37+v3
AC,Porto Walter,1200393.0,12468,0.0,Nenhum,0.0,5,0,0,0.0,0.0,0.0,0.0,2.0,False,65.0,True,14.3,13.9,v37+v3
AC,Rio Branco,1200401.0,419452,5.0,"CAPS II, CAPSad, CAPSi, CAPSad III, CAPS III",3.0,480,30,30,70.0,56.0,14.0,0.1535,72.0,False,65.0,False,35.0,34.7,v37+v3
AC,Rodrigues Alves,1200427.0,18842,0.0,Nenhum,0.0,8,0,0,0.0,0.0,0.0,0.0,2.0,False,65.0,False,17.3,15.0,v37+v3
AC,Santa Rosa do Purus,1200435.0,8245,0.0,Nenhum,0.0,3,0,1,0.0,0.0,0.0,0.0,1.0,False,65.0,False,13.9,14.3,v37+v3
